,play_id,play_type,play_description,play_description_short,away_score,home_score,quarter,seconds_remaining_in_quarter,clock_display_value,scoring_play,play_score_value,posteam,start_down,start_yards_to_go,start_yards_to_endzone,end_down,end_yards_to_go,end_yards_to_endzone,yards_gained
0,4013263171,Coin Toss,GAME,"SF Win Toss, Elect to Defers west",0,0,0,900.0,15:00,False,0,N/A,0,0,0,0,0,65,0
1,40132631740,Kickoff Return (Offense),M.Wishnowsky kicks 67 yards from SF 35 to DET -2. G.Igwebuike to DET 25 for 27 yards (S.Ebukam).,"Mitch Wishnowsky 67 Yrd Kickoff , Godwin Igwebuike 27 Yrd Return",0,0,1,900.0,15:00,False,0,SF,0,0,65,-1,10,75,27
2,40132631769,Rush,(14:53) J.Williams right tackle to DET 35 for 10 yards (F.Warner; J.Tartt).,Jamaal Williams 10 Yrd Rush,0,0,1,893.0,14:53,False,0,DET,1,10,75,1,10,65,10
3,40132631790,Pass Reception,(14:18) J.Goff pass short right to T.Hockenson to SF 43 for 22 yards (J.Ward; D.Lenoir).,Jared Goff  Pass Complete for 22 Yrds to T.J. Hockenson,0,0,1,858.0,14:18,False,0,DET,1,10,65,1,10,43,22
4,401326317114,Rush,(13:37) J.Williams right tackle to SF 41 for 2 yards (N.Bosa).,Jamaal Williams 2 Yrd Rush,0,0,1,817.0,13:37,False,0,DET,1,10,43,2,8,41,2
5,401326317135,Pass Incompletion,(12:56) (Shotgun) J.Goff pass incomplete short middle to T.Williams [K.Street].,"Jared Goff Incomplete Pass, Int'd For Tyrell Williams",0,0,1,776.0,12:56,False,0,DET,2,8,41,3,8,41,0
6,401326317157,Pass Reception,(12:52) (Shotgun) J.Goff pass short right to J.Williams to SF 35 for 6 yards (F.Warner).,Jared Goff  Pass Complete for 6 Yrds to Jamaal Williams,0,0,1,772.0,12:52,False,0,DET,3,8,41,4,2,35,6
7,401326317185,Rush,(12:06) L.Stenberg reported in as eligible.  J.Williams up the middle to SF 36 for -1 yards (J.Tartt).,"Jamaal Williams Rush , Loss of 1 Yrd",0,0,1,726.0,12:06,False,0,DET,4,2,35,1,10,36,-1
8,401326317208,Fumble Recovery (Opponent),"(12:01) J.Garoppolo FUMBLES (Aborted) at SF 36, touched at SF 36, RECOVERED by DET-J.Collins at SF 38.","Jimmy Garoppolo Aborted Snap, Jimmy Garoppolo Fumble, Jamie Collins Sr. 0 Yrd Fumble Recovery",0,0,1,721.0,12:01,False,0,SF,1,10,64,1,10,59,0
9,401326317240,Rush,(11:56) D.Swift up the middle to SF 34 for 4 yards (D.Greenlaw).,D'Andre Swift 4 Yrd Rush,0,0,1,716.0,11:56,False,0,DET,1,10,38,2,6,34,4
10,401326317261,Rush,(11:21) K.Raymond right end to SF 25 for 9 yards (A.Al-Shaair).,Kalif Raymond 9 Yrd Rush,0,0,1,681.0,11:21,False,0,DET,2,6,34,1,10,25,9
11,401326317282,Pass Incompletion,(10:34) (Shotgun) J.Goff pass incomplete deep left to A.St. Brown.,"Jared Goff Incomplete Pass, Int'd For Amon-Ra St. Brown",0,0,1,634.0,10:34,False,0,DET,1,10,25,2,10,25,0
12,401326317304,Pass Reception,(10:29) J.Goff pass short left to D.Swift to SF 33 for -8 yards (A.Al-Shaair).,Jared Goff  Pass Complete for Loss of 8 Yrds to D'Andre Swift,0,0,1,629.0,10:29,False,0,DET,2,10,25,3,18,33,-8
13,401326317328,Pass Incompletion,(9:46) (Shotgun) J.Goff pass incomplete short right to D.Swift.,"Jared Goff Incomplete Pass, Int'd For D'Andre Swift",0,0,1,586.0,9:46,False,0,DET,3,18,33,4,18,33,0
14,401326317350,Field Goal Missed,"(9:41) A.Seibert 51 yard field goal is No Good, Wide Left, Center-S.Daly, Holder-J.Fox.",Austin Seibert Missed 51 Yrd FG Wide Left,0,0,1,581.0,9:41,False,0,DET,4,18,33,1,10,59,51
15,401326317370,Rush,(9:36) R.Mostert left end pushed ob at DET 48 for 11 yards (W.Harris).,Raheem Mostert 11 Yrd Rush,0,0,1,576.0,9:36,False,0,SF,1,10,59,1,10,48,11
16,401326317396,Rush,(9:02) R.Mostert right end to DET 39 for 9 yards (T.Walker).,Raheem Mostert 9 Yrd Rush,0,0,1,542.0,9:02,False,0,SF,1,10,48,2,1,39,9
17,401326317417,Pass Reception,"(8:26) J.Garoppolo pass short right to G.Kittle to DET 16 for 23 yards (T.Walker, W.Harris).",Jimmy Garoppolo  Pass Complete for 23 Yrds to George Kittle,0,0,1,506.0,8:26,False,0,SF,2,1,39,1,10,78,23
18,401326317441,Rush,(7:39) (Shotgun) T.Lance up the middle to DET 15 for 1 yard (M.Brockers). #5-T. Lance in at QB for this play.,Trey Lance 1 Yrd Rush,0,0,1,459.0,7:39,False,0,SF,1,10,16,3,6,15,1
19,401326317466,Rush,(7:10) E.Mitchell up the middle to DET 12 for 3 yards (M.Brockers; A.McNeill).,Elijah Mitchell 3 Yrd Rush,0,0,1,430.0,7:10,False,0,SF,2,9,15,1,10,12,3
20,401326317487,Pass Reception,(6:27) (Shotgun) J.Garoppolo pass short left to M.Sanu pushed ob at DET 5 for 7 yards (J.Okudah).,Jimmy Garoppolo  Pass Complete for 7 Yrds to Mohamed Sanu Sr.,0,0,1,387.0,6:27,False,0,SF,3,6,12,1,5,5,7
