,play_id,play_type,play_description,play_description_short,away_score,home_score,quarter,seconds_remaining_in_quarter,clock_display_value,scoring_play,play_score_value,posteam,start_down,start_yards_to_go,start_yards_to_endzone,end_down,end_yards_to_go,end_yards_to_endzone,yards_gained
0,4014376881,Coin Toss,GAME,"NYJ Win Toss, Elect to Defers south",0,0,0,900.0,15:00,False,0,N/A,0,0,0,0,0,65,0
1,40143768839,Kickoff,B.Mann kicks 67 yards from NYJ 35 to ATL -2. A.Williams to ATL 23 for 25 yards (D.Phillips; L.Cager).,"Braden Mann 67 Yd Kickoff , Avery Williams 25 Yd Return",0,0,1,900.0,15:00,False,0,NYJ,0,0,65,1,10,77,25
2,40143768861,Rush,(14:55) (Shotgun) D.Williams left guard to ATL 27 for 4 yards (J.Sherwood).,Damien Williams 4 Yd Rush,0,0,1,895.0,14:55,False,0,ATL,1,10,77,2,10,73,4
3,40143768882,Pass Reception,(14:14) (Shotgun) M.Mariota pass deep left to K.Pitts pushed ob at NYJ 21 for 52 yards (B.Hall).,Marcus Mariota  Pass Complete for 52 Yds to Kyle Pitts,0,0,1,854.0,14:14,False,0,ATL,2,6,73,1,8,21,52
4,401437688111,Pass Reception,(13:40) M.Mariota pass short right to B.Edwards to NYJ 9 for 12 yards (A.Gardner).,Marcus Mariota  Pass Complete for 12 Yds to Bryan Edwards,0,0,1,820.0,13:40,False,0,ATL,1,10,21,1,5,9,12
5,401437688140,Rush,"(12:56) D.Williams left guard to NYJ 8 for 1 yard (B.Hall, J.Sherwood).",Damien Williams 1 Yd Rush,0,0,1,776.0,12:56,False,0,ATL,1,9,9,2,10,8,1
6,401437688166,Pass Incompletion,(12:14) M.Mariota pass incomplete short right to P.Hesse [B.Anae].,"Marcus Mariota Incomplete Pass, Int'd For Parker Hesse",0,0,1,734.0,12:14,False,0,ATL,2,8,65,3,10,8,0
7,401437688188,Pass Reception,(12:08) M.Mariota pass short middle to T.Allgeier to NYJ 5 for 3 yards (J.Sherwood).,Marcus Mariota  Pass Complete for 3 Yds to Tyler Allgeier,0,0,1,728.0,12:08,False,0,ATL,3,8,8,4,10,5,3
8,401437688212,Field Goal Good,"(11:26) Y.Koo 23 yard field goal is GOOD, Center-L.McCullough, Holder-B.Pinion.",Younghoe Koo Made 23 Yd Field Goal,3,0,1,682.0,11:22,True,3,ATL,4,5,5,-1,10,65,23
9,401437688231,Kickoff,B.Pinion kicks 68 yards from ATL 35 to NYJ -3. T.Coleman to NYJ 19 for 22 yards (D.Marlowe).,"Bradley Pinion 68 Yd Kickoff , Tevin Coleman 22 Yd Return",3,0,1,682.0,11:22,False,0,ATL,0,0,65,1,10,81,22
10,401437688253,Pass Reception,(11:18) M.White pass short right to G.Wilson pushed ob at NYJ 23 for 4 yards (C.Hayward).,Mike White  Pass Complete for 4 Yds to Garrett Wilson,3,0,1,678.0,11:18,False,0,NYJ,1,10,81,2,10,77,4
11,401437688282,Rush,"(10:45) Br.Hall left end to NYJ 24 for 1 yard (C.Hayward). PENALTY on ATL-A.Rush, Defensive Holding, 5 yards, enforced at NYJ 24.","Breece Hall 1 Yd Rush  , Anthony Rush 5 Yd Penalty",3,0,1,645.0,10:45,False,0,NYJ,2,6,77,1,10,72,6
12,401437688314,Rush,(10:14) Br.Hall up the middle to NYJ 26 for -3 yards (A.Ogundeji).,"Breece Hall Rush , Loss of 3 Yds",3,0,1,614.0,10:14,False,0,NYJ,1,10,71,2,5,74,-3
13,401437688335,Pass Reception,(9:38) (Shotgun) M.White pass short middle to T.Black to NYJ 34 for 8 yards (R.Evans; M.Walker) [L.Carter].,Mike White  Pass Complete for 8 Yds to Tarik Black,3,0,1,578.0,9:38,False,0,NYJ,2,13,74,3,10,66,8
14,401437688359,Rush,(9:00) (Shotgun) M.White scrambles up the middle to NYJ 35 for 1 yard (T.Graham).,Mike White 1 Yd Rush,3,0,1,540.0,9:00,False,0,NYJ,3,5,66,4,9,65,1
15,401437688380,Punt,"(8:15) B.Mann punts 53 yards to ATL 12, Center-T.Hennessy. A.Williams to ATL 25 for 13 yards (K.Nacua, T.Hennessy).","Braden Mann 53 Yd Punt to ATL 12 , Avery Williams 13 Yd Return to 25",3,0,1,495.0,8:15,False,0,NYJ,4,4,65,1,10,75,13
16,401437688405,Rush,(8:04) T.Allgeier right tackle to ATL 29 for 4 yards (J.Marshall).,Tyler Allgeier 4 Yd Rush,3,0,1,484.0,8:04,False,0,ATL,1,10,75,2,9,71,4
17,401437688426,Pass Reception,"(7:29) (Shotgun) M.Mariota pass short left to K.Hodge to ATL 42 for 13 yards (B.Hall, M.Carter).",Marcus Mariota  Pass Complete for 13 Yds to KhaDarel Hodge,3,0,1,449.0,7:29,False,0,ATL,2,6,71,1,9,37,13
18,401437688450,Penalty,"(7:08) PENALTY on NYJ-T.Smart, Neutral Zone Infraction, 5 yards, enforced at ATL 42 - No Play.",Tanzel Smart 5 Yd Penalty,3,0,1,428.0,7:08,False,0,ATL,1,10,58,1,9,53,5
19,401437688473,Pass Reception,(6:47) M.Mariota pass deep left to A.Firkser pushed ob at NYJ 14 for 39 yards (J.Pinnock).,Marcus Mariota  Pass Complete for 39 Yds to Anthony Firkser,3,0,1,407.0,6:47,False,0,ATL,1,5,53,1,10,14,39
20,401437688502,Rush,(6:07) T.Allgeier right end pushed ob at NYJ 13 for 1 yard (J.Sherwood).,Tyler Allgeier 1 Yd Rush,3,0,1,367.0,6:07,False,0,ATL,1,10,14,2,10,13,1
21,401437688528,Pass Incompletion,(5:29) (Shotgun) M.Mariota pass incomplete short right to T.Allgeier.,"Marcus Mariota Incomplete Pass, Int'd For Tyler Allgeier",3,0,1,329.0,5:29,False,0,ATL,2,9,65,3,10,13,0
22,401437688550,Passing Touchdown,"(5:20) (Shotgun) M.Mariota pass short left to O.Zaccheaus for 13 yards, TOUCHDOWN. Y.Koo extra point is GOOD, Center-L.McCullough, Holder-B.Pinion.",Olamide Zaccheaus Pass From Marcus Mariota for 13 Yds Younghoe Koo Made Ex. Pt,10,0,1,316.0,5:16,True,6,ATL,3,9,13,-1,10,15,13
23,401437688591,Kickoff,Y.Koo kicks 62 yards from ATL 35 to NYJ 3. T.Coleman to NYJ 20 for 17 yards (F.Darby).,"Younghoe Koo 62 Yd Kickoff , Tevin Coleman 17 Yd Return",10,0,1,316.0,5:16,False,0,ATL,0,0,65,1,10,80,17
24,401437688613,Pass Incompletion,(5:11) M.White pass incomplete short middle to J.Smith.,"Mike White Incomplete Pass, Int'd For Jeff Smith",10,0,1,311.0,5:11,False,0,NYJ,1,10,63,2,10,80,0
25,401437688635,Pass Reception,(5:07) (Shotgun) M.White pass short left to G.Wilson to NYJ 27 for 7 yards (C.Ballentine).,Mike White  Pass Complete for 7 Yds to Garrett Wilson,10,0,1,307.0,5:07,False,0,NYJ,2,10,80,3,10,73,7
26,401437688659,Penalty,"(4:31) (Shotgun) PENALTY on NYJ-T.Wesco, False Start, 5 yards, enforced at NYJ 27 - No Play.",Trevon Wesco -5 Yd Penalty,10,0,1,271.0,4:31,False,0,NYJ,3,3,73,3,10,78,-5
27,401437688682,Penalty,"(4:10) (Shotgun) M.White pass incomplete short right to J.Smith. PENALTY on ATL-A.Ogundeji, Roughing the Passer, 15 yards, enforced at NYJ 22 - No Play.","Mike White Incomplete Pass, Int'd For Jeff Smith , Adetokunbo Ogundeji 15 Yd Penalty",10,0,1,250.0,4:10,False,0,NYJ,3,8,78,1,10,63,15
28,401437688715,Rush,(4:06) Br.Hall up the middle to NYJ 39 for 2 yards (A.Ogundeji).,Breece Hall 2 Yd Rush,10,0,1,246.0,4:06,False,0,NYJ,1,10,63,2,6,62,2
29,401437688736,Rush,(3:29) Br.Hall left tackle to NYJ 40 for 1 yard (A.Anderson; L.Carter).,Breece Hall 1 Yd Rush,10,0,1,209.0,3:29,False,0,NYJ,2,8,61,3,6,60,1
30,401437688757,Pass Reception,(2:49) (Shotgun) M.White pass short middle to G.Wilson to NYJ 44 for 4 yards (D.Alford).,Mike White  Pass Complete for 4 Yds to Garrett Wilson,10,0,1,169.0,2:49,False,0,NYJ,3,7,60,4,6,56,4
31,401437688781,Punt,"(2:04) B.Mann punts 46 yards to ATL 10, Center-T.Hennessy, fair catch by A.Williams.","Braden Mann 46 Yd Punt, Fair Catch by Avery Williams at ATL 10",10,0,1,124.0,2:04,False,0,NYJ,4,3,56,1,10,90,0
32,401437688800,Rush,(1:56) (Shotgun) Q.Ollison right tackle to ATL 14 for 4 yards (H.Nasirildeen; D.Phillips).,Qadree Ollison 4 Yd Rush,10,0,1,116.0,1:56,False,0,ATL,1,10,90,2,3,86,4
33,401437688821,Pass Incompletion,"(1:32) (No Huddle, Shotgun) M.Mariota pass incomplete short left to Q.Ollison.","Marcus Mariota Incomplete Pass, Int'd For Qadree Ollison",10,0,1,92.0,1:32,False,0,ATL,2,6,40,3,10,86,0
34,401437688843,Pass Incompletion,"(1:27) (No Huddle, Shotgun) M.Mariota pass incomplete short left to O.Zaccheaus.","Marcus Mariota Incomplete Pass, Int'd For Olamide Zaccheaus",10,0,1,87.0,1:27,False,0,ATL,3,6,35,4,10,86,0
35,401437688865,Punt,"(1:24) B.Pinion punts 36 yards to 50, Center-L.McCullough, fair catch by B.Berrios.","Bradley Pinion 36 Yd Punt, Fair Catch by Braxton Berrios at 50",10,0,1,84.0,1:24,False,0,ATL,4,6,86,1,10,50,0
36,401437688884,Pass Reception,(1:19) M.White pass short right to T.Wesco pushed ob at ATL 43 for 7 yards (M.Ford).,Mike White  Pass Complete for 7 Yds to Trevon Wesco,10,0,1,79.0,1:19,False,0,NYJ,1,10,50,2,10,43,7
